cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,anweight,psppsgva,actrolga,psppipla,cptppola,polcmpl,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,imprich,ipeqopt,impsafe,ipfrule,impfree,ipstrgv,imptrad
EE,ESS1-9e01,1,10.12.2020,129579,ESS9e03,9,3,6,0.999575138,1.11963129,0.057978309,0.064914329,2,2,2,2,,4,6,7,4,4,6,6,5,2,2,5,2,2,3
EE,ESS1-9e01,1,10.12.2020,129580,ESS9e03,9,3,20,1.00063169,0.832262278,0.057978309,0.048253159,,1,1,1,,7,9,9,,,8,8,6,4,2,4,2,3,5
EE,ESS1-9e01,1,10.12.2020,129581,ESS9e03,9,3,22,1.00063169,0.954182446,0.057978309,0.055321885,2,3,2,3,,2,2,2,2,2,,,3,3,1,3,2,2,5
EE,ESS1-9e01,1,10.12.2020,129582,ESS9e03,9,3,26,1.002517462,1.294316649,0.057978309,0.075042291,2,2,2,1,,4,5,8,3,2,5,6,2,4,2,2,2,1,2
EE,ESS1-9e01,1,10.12.2020,129583,ESS9e03,9,3,126,1.000487685,1.065217614,0.057978309,0.061759516,2,1,1,1,,3,,5,1,1,,,6,3,1,4,1,3,3
EE,ESS1-9e01,1,10.12.2020,129584,ESS9e03,9,3,148,1.00063169,1.147897243,0.057978309,0.066553141,4,4,4,4,,6,6,7,4,5,7,1,3,4,1,3,4,1,6
EE,ESS1-9e01,1,10.12.2020,129585,ESS9e03,9,3,151,0.999575138,0.746144235,0.057978309,0.043260181,3,2,4,2,,6,7,9,5,5,8,8,4,2,2,3,2,2,3
EE,ESS1-9e01,1,10.12.2020,129586,ESS9e03,9,3,174,0.999575138,0.746144235,0.057978309,0.043260181,3,1,2,1,,10,4,10,7,4,5,2,4,6,2,2,3,2,3
EE,ESS1-9e01,1,10.12.2020,129587,ESS9e03,9,3,185,0.998645127,1.134816885,0.057978309,0.065794764,1,3,1,4,,3,5,5,2,3,3,5,4,2,2,5,2,5,5
EE,ESS1-9e01,1,10.12.2020,129588,ESS9e03,9,3,191,1.000487685,1.123396277,0.057978309,0.065132617,2,1,2,1,,6,8,8,6,5,,,3,2,1,3,1,2,2
EE,ESS1-9e01,1,10.12.2020,129589,ESS9e03,9,3,291,0.999575138,0.746144235,0.057978309,0.043260181,1,1,1,1,,8,9,10,9,9,,,6,5,1,3,1,2,3
EE,ESS1-9e01,1,10.12.2020,129590,ESS9e03,9,3,307,1.000487685,1.454965711,0.057978309,0.084356452,3,1,2,2,,8,8,10,6,5,7,7,4,1,1,6,2,4,2
EE,ESS1-9e01,1,10.12.2020,129591,ESS9e03,9,3,390,0.999575138,0.755400479,0.057978309,0.043796842,1,2,1,1,,8,3,10,3,4,6,5,5,3,2,3,3,2,3
